AI_TRUST_LEVEL,AI_TRUST_ORDER,AI_TASK,AI_TASK_STATUS,AI_TASK_STATUS_ORDER,RESPONDENT_COUNT,TRUST_GROUP_RESPONDENT_COUNT,TRUST_TASK_RESPONDENT_COUNT,RESPONDENT_SHARE_WITHIN_TRUST,RESPONDENT_SHARE_WITHIN_TRUST_TASK
Somewhat distrust,4,Debugging or fixing code,Currently partially AI,2,2347,8133,7974,0.2886,0.2943
Neither trust nor distrust,3,Creating or maintaining documentation,Plan to mostly use AI,3,1050,6490,6247,0.1618,0.1681
Somewhat trust,2,Search for answers,Plan to mostly use AI,3,738,9140,8879,0.0807,0.0831
Somewhat trust,2,Learning about a codebase,Currently mostly AI,1,1139,9140,8728,0.1246,0.1305
Highly trust,1,Generating content or synthetic data,Currently mostly AI,1,351,946,871,0.371,0.403
Somewhat distrust,4,Deployment and monitoring,Plan to mostly use AI,3,273,8133,7850,0.0336,0.0348
Somewhat trust,2,Learning new concepts or technologies,Currently partially AI,2,3665,9140,8800,0.401,0.4165
Somewhat distrust,4,Documenting code,Plan to mostly use AI,3,857,8133,7962,0.1054,0.1076
Somewhat distrust,4,Search for answers,Plan to mostly use AI,3,544,8133,7999,0.0669,0.068
Somewhat trust,2,Writing code,Plan to mostly use AI,3,701,9140,8961,0.0767,0.0782
Neither trust nor distrust,3,Testing code,Plan to partially use AI,4,1834,6490,6277,0.2826,0.2922
Somewhat distrust,4,Committing and reviewing code,Plan to partially use AI,4,1973,8133,7914,0.2426,0.2493
Somewhat trust,2,Project planning,Plan to mostly use AI,3,860,9140,8636,0.0941,0.0996
Neither trust nor distrust,3,Search for answers,Plan to mostly use AI,3,629,6490,6348,0.0969,0.0991
Somewhat distrust,4,Predictive analytics,Plan to mostly use AI,3,579,8133,7695,0.0712,0.0752
Neither trust nor distrust,3,Documenting code,Plan to mostly use AI,3,957,6490,6266,0.1475,0.1527
Neither trust nor distrust,3,Project planning,Plan to partially use AI,4,1436,6490,6208,0.2213,0.2313
Somewhat trust,2,Predictive analytics,Currently mostly AI,1,545,9140,8402,0.0596,0.0649
Highly trust,1,Deployment and monitoring,Currently partially AI,2,145,946,863,0.1533,0.168
Neither trust nor distrust,3,Creating or maintaining documentation,Currently partially AI,2,1435,6490,6247,0.2211,0.2297
Neither trust nor distrust,3,Deployment and monitoring,Currently partially AI,2,540,6490,6179,0.0832,0.0874
Somewhat trust,2,Deployment and monitoring,Plan to mostly use AI,3,942,9140,8603,0.1031,0.1095
Highly trust,1,Generating content or synthetic data,Plan to partially use AI,4,105,946,871,0.111,0.1206
Highly distrust,5,Learning new concepts or technologies,Do not plan to use AI,5,3634,6246,6178,0.5818,0.5882
Highly distrust,5,Testing code,Do not plan to use AI,5,4137,6246,6181,0.6623,0.6693
Somewhat distrust,4,Deployment and monitoring,Do not plan to use AI,5,5810,8133,7850,0.7144,0.7401
Somewhat distrust,4,Learning about a codebase,Do not plan to use AI,5,2953,8133,7941,0.3631,0.3719
Highly distrust,5,Creating or maintaining documentation,Do not plan to use AI,5,3905,6246,6174,0.6252,0.6325
Somewhat trust,2,Writing code,Do not plan to use AI,5,513,9140,8961,0.0561,0.0572
Somewhat distrust,4,Predictive analytics,Do not plan to use AI,5,5019,8133,7695,0.6171,0.6522
Highly trust,1,Committing and reviewing code,Do not plan to use AI,5,165,946,867,0.1744,0.1903
Neither trust nor distrust,3,Writing code,Currently mostly AI,1,317,6490,6365,0.0488,0.0498
Somewhat distrust,4,Writing code,Currently mostly AI,1,137,8133,8027,0.0168,0.0171
Highly distrust,5,Predictive analytics,Plan to mostly use AI,3,197,6246,6074,0.0315,0.0324
Neither trust nor distrust,3,Predictive analytics,Plan to mostly use AI,3,735,6490,6043,0.1133,0.1216
Neither trust nor distrust,3,Debugging or fixing code,Plan to mostly use AI,3,547,6490,6318,0.0843,0.0866
Somewhat distrust,4,Generating content or synthetic data,Currently mostly AI,1,692,8133,7862,0.0851,0.088
Neither trust nor distrust,3,Predictive analytics,Currently partially AI,2,672,6490,6043,0.1035,0.1112
Highly distrust,5,Search for answers,Currently partially AI,2,1452,6246,6191,0.2325,0.2345
Somewhat trust,2,Testing code,Plan to mostly use AI,3,1425,9140,8767,0.1559,0.1625
Highly distrust,5,Learning about a codebase,Plan to partially use AI,4,1280,6246,6165,0.2049,0.2076
Somewhat trust,2,Committing and reviewing code,Do not plan to use AI,5,2670,9140,8700,0.2921,0.3069
Neither trust nor distrust,3,Project planning,Do not plan to use AI,5,3224,6490,6208,0.4968,0.5193
Somewhat trust,2,Generating content or synthetic data,Do not plan to use AI,5,1634,9140,8623,0.1788,0.1895
Highly distrust,5,Writing code,Do not plan to use AI,5,3784,6246,6198,0.6058,0.6105
Somewhat trust,2,Learning about a codebase,Do not plan to use AI,5,1414,9140,8728,0.1547,0.162
Neither trust nor distrust,3,Deployment and monitoring,Do not plan to use AI,5,3659,6490,6179,0.5638,0.5922
Highly distrust,5,Generating content or synthetic data,Do not plan to use AI,5,3591,6246,6146,0.5749,0.5843
Neither trust nor distrust,3,Documenting code,Do not plan to use AI,5,1431,6490,6266,0.2205,0.2284
Somewhat distrust,4,Committing and reviewing code,Currently mostly AI,1,88,8133,7914,0.0108,0.0111
Neither trust nor distrust,3,Debugging or fixing code,Currently mostly AI,1,398,6490,6318,0.0613,0.063
Highly distrust,5,Predictive analytics,Currently mostly AI,1,61,6246,6074,0.0098,0.01
Highly trust,1,Creating or maintaining documentation,Currently mostly AI,1,329,946,878,0.3478,0.3747
Highly trust,1,Other,Currently partially AI,2,39,946,227,0.0412,0.1718
Highly trust,1,Writing code,Currently partially AI,2,318,946,906,0.3362,0.351
Highly trust,1,Predictive analytics,Currently partially AI,2,161,946,855,0.1702,0.1883
Somewhat trust,2,Generating content or synthetic data,Plan to mostly use AI,3,1364,9140,8623,0.1492,0.1582
Highly distrust,5,Documenting code,Plan to mostly use AI,3,262,6246,6179,0.0419,0.0424
Highly trust,1,Predictive analytics,Plan to partially use AI,4,118,946,855,0.1247,0.138
Highly trust,1,Committing and reviewing code,Plan to mostly use AI,3,110,946,867,0.1163,0.1269
Highly distrust,5,Deployment and monitoring,Plan to mostly use AI,3,93,6246,6148,0.0149,0.0151
Highly trust,1,Other,Currently mostly AI,1,97,946,227,0.1025,0.4273
Highly trust,1,Learning new concepts or technologies,Currently partially AI,2,243,946,883,0.2569,0.2752
Neither trust nor distrust,3,Other,Plan to partially use AI,4,82,6490,621,0.0126,0.132
Highly trust,1,Testing code,Do not plan to use AI,5,117,946,872,0.1237,0.1342
Somewhat distrust,4,Learning new concepts or technologies,Plan to mostly use AI,3,384,8133,7971,0.0472,0.0482
Highly trust,1,Deployment and monitoring,Plan to mostly use AI,3,132,946,863,0.1395,0.153
Highly trust,1,Project planning,Plan to partially use AI,4,141,946,863,0.149,0.1634
Highly distrust,5,Committing and reviewing code,Plan to mostly use AI,3,85,6246,6167,0.0136,0.0138
Highly trust,1,Testing code,Currently partially AI,2,183,946,872,0.1934,0.2099
Highly distrust,5,Other,Plan to partially use AI,4,57,6246,1658,0.0091,0.0344
Highly trust,1,Other,Do not plan to use AI,5,29,946,227,0.0307,0.1278
Highly distrust,5,Debugging or fixing code,Currently mostly AI,1,69,6246,6188,0.011,0.0112
Neither trust nor distrust,3,Other,Plan to mostly use AI,3,67,6490,621,0.0103,0.1079
Somewhat trust,2,Predictive analytics,Plan to mostly use AI,3,1299,9140,8402,0.1421,0.1546
Somewhat trust,2,Documenting code,Plan to partially use AI,4,1762,9140,8752,0.1928,0.2013
Highly distrust,5,Creating or maintaining documentation,Plan to mostly use AI,3,316,6246,6174,0.0506,0.0512
Neither trust nor distrust,3,Debugging or fixing code,Plan to partially use AI,4,1658,6490,6318,0.2555,0.2624
Neither trust nor distrust,3,Writing code,Plan to partially use AI,4,1819,6490,6365,0.2803,0.2858
Somewhat distrust,4,Learning about a codebase,Plan to partially use AI,4,2535,8133,7941,0.3117,0.3192
Neither trust nor distrust,3,Predictive analytics,Do not plan to use AI,5,2996,6490,6043,0.4616,0.4958
Highly trust,1,Testing code,Plan to partially use AI,4,136,946,872,0.1438,0.156
Somewhat trust,2,Learning about a codebase,Plan to partially use AI,4,2124,9140,8728,0.2324,0.2434
Neither trust nor distrust,3,Learning about a codebase,Plan to partially use AI,4,1834,6490,6272,0.2826,0.2924
Highly distrust,5,Generating content or synthetic data,Plan to partially use AI,4,1234,6246,6146,0.1976,0.2008
Somewhat trust,2,Deployment and monitoring,Do not plan to use AI,5,4116,9140,8603,0.4503,0.4784
Somewhat distrust,4,Project planning,Do not plan to use AI,5,5371,8133,7880,0.6604,0.6816
Somewhat trust,2,Debugging or fixing code,Do not plan to use AI,5,938,9140,8876,0.1026,0.1057
Somewhat distrust,4,Testing code,Do not plan to use AI,5,3264,8133,7951,0.4013,0.4105
Neither trust nor distrust,3,Predictive analytics,Currently mostly AI,1,234,6490,6043,0.0361,0.0387
Neither trust nor distrust,3,Creating or maintaining documentation,Do not plan to use AI,5,1505,6490,6247,0.2319,0.2409
Somewhat distrust,4,Creating or maintaining documentation,Currently mostly AI,1,366,8133,7918,0.045,0.0462
Neither trust nor distrust,3,Project planning,Currently partially AI,2,828,6490,6208,0.1276,0.1334
Highly trust,1,Predictive analytics,Plan to mostly use AI,3,129,946,855,0.1364,0.1509
Highly trust,1,Deployment and monitoring,Do not plan to use AI,5,218,946,863,0.2304,0.2526
Somewhat distrust,4,Writing code,Plan to mostly use AI,3,260,8133,8027,0.032,0.0324
Highly trust,1,Learning new concepts or technologies,Do not plan to use AI,5,44,946,883,0.0465,0.0498
Somewhat trust,2,Project planning,Do not plan to use AI,5,3541,9140,8636,0.3874,0.41
Highly trust,1,Documenting code,Currently mostly AI,1,360,946,891,0.3805,0.404
Highly distrust,5,Predictive analytics,Currently partially AI,2,153,6246,6074,0.0245,0.0252
Somewhat trust,2,Other,Plan to partially use AI,4,103,9140,722,0.0113,0.1427
Highly distrust,5,Testing code,Currently mostly AI,1,94,6246,6181,0.015,0.0152
Highly trust,1,Debugging or fixing code,Currently partially AI,2,258,946,886,0.2727,0.2912
Somewhat distrust,4,Other,Plan to partially use AI,4,60,8133,936,0.0074,0.0641
Highly trust,1,Predictive analytics,Currently mostly AI,1,259,946,855,0.2738,0.3029
Somewhat distrust,4,Deployment and monitoring,Currently mostly AI,1,38,8133,7850,0.0047,0.0048
Highly trust,1,Documenting code,Plan to partially use AI,4,96,946,891,0.1015,0.1077
Highly trust,1,Generating content or synthetic data,Do not plan to use AI,5,101,946,871,0.1068,0.116
Highly distrust,5,Other,Plan to mostly use AI,3,28,6246,1658,0.0045,0.0169
Highly trust,1,Other,Plan to partially use AI,4,23,946,227,0.0243,0.1013
Neither trust nor distrust,3,Learning new concepts or technologies,Do not plan to use AI,5,1166,6490,6281,0.1797,0.1856
Somewhat distrust,4,Documenting code,Do not plan to use AI,5,2839,8133,7962,0.3491,0.3566
Somewhat distrust,4,Other,Plan to mostly use AI,3,30,8133,936,0.0037,0.0321
Neither trust nor distrust,3,Creating or maintaining documentation,Currently mostly AI,1,628,6490,6247,0.0968,0.1005
Highly trust,1,Committing and reviewing code,Currently mostly AI,1,260,946,867,0.2748,0.2999
Highly distrust,5,Other,Currently mostly AI,1,52,6246,1658,0.0083,0.0314
Somewhat trust,2,Debugging or fixing code,Currently mostly AI,1,1237,9140,8876,0.1353,0.1394
Somewhat trust,2,Learning new concepts or technologies,Currently mostly AI,1,1799,9140,8800,0.1968,0.2044
Neither trust nor distrust,3,Search for answers,Currently mostly AI,1,1340,6490,6348,0.2065,0.2111
Highly trust,1,Debugging or fixing code,Currently mostly AI,1,384,946,886,0.4059,0.4334
Highly trust,1,Writing code,Currently mostly AI,1,376,946,906,0.3975,0.415
Neither trust nor distrust,3,Testing code,Currently mostly AI,1,429,6490,6277,0.0661,0.0683
Neither trust nor distrust,3,Documenting code,Currently mostly AI,1,810,6490,6266,0.1248,0.1293
Highly trust,1,Learning about a codebase,Currently mostly AI,1,353,946,880,0.3732,0.4011
Highly distrust,5,Learning about a codebase,Currently partially AI,2,569,6246,6165,0.0911,0.0923
Neither trust nor distrust,3,Learning new concepts or technologies,Currently partially AI,2,2333,6490,6281,0.3595,0.3714
Highly trust,1,Project planning,Currently mostly AI,1,256,946,863,0.2706,0.2966
Somewhat distrust,4,Learning new concepts or technologies,Currently partially AI,2,2618,8133,7971,0.3219,0.3284
Somewhat trust,2,Committing and reviewing code,Currently partially AI,2,2097,9140,8700,0.2294,0.241
Neither trust nor distrust,3,Search for answers,Currently partially AI,2,2718,6490,6348,0.4188,0.4282
Highly distrust,5,Learning new concepts or technologies,Currently partially AI,2,1088,6246,6178,0.1742,0.1761
Somewhat trust,2,Learning about a codebase,Currently partially AI,2,2793,9140,8728,0.3056,0.32
Somewhat distrust,4,Testing code,Plan to mostly use AI,3,660,8133,7951,0.0812,0.083
Somewhat trust,2,Debugging or fixing code,Plan to mostly use AI,3,867,9140,8876,0.0949,0.0977
Somewhat trust,2,Documenting code,Plan to mostly use AI,3,1435,9140,8752,0.157,0.164
Highly distrust,5,Learning new concepts or technologies,Plan to partially use AI,4,1129,6246,6178,0.1808,0.1827
Highly distrust,5,Other,Do not plan to use AI,5,1474,6246,1658,0.236,0.889
Somewhat trust,2,Creating or maintaining documentation,Currently mostly AI,1,1295,9140,8694,0.1417,0.149
Somewhat trust,2,Testing code,Currently mostly AI,1,945,9140,8767,0.1034,0.1078
Somewhat trust,2,Generating content or synthetic data,Currently partially AI,2,2254,9140,8623,0.2466,0.2614
Highly distrust,5,Creating or maintaining documentation,Currently partially AI,2,537,6246,6174,0.086,0.087
Somewhat distrust,4,Deployment and monitoring,Currently partially AI,2,304,8133,7850,0.0374,0.0387
Neither trust nor distrust,3,Writing code,Currently partially AI,2,2897,6490,6365,0.4464,0.4551
Neither trust nor distrust,3,Writing code,Plan to mostly use AI,3,481,6490,6365,0.0741,0.0756
Highly distrust,5,Debugging or fixing code,Plan to partially use AI,4,1050,6246,6188,0.1681,0.1697
Neither trust nor distrust,3,Documenting code,Plan to partially use AI,4,1551,6490,6266,0.239,0.2475
Somewhat distrust,4,Generating content or synthetic data,Plan to partially use AI,4,1981,8133,7862,0.2436,0.252
Somewhat trust,2,Testing code,Plan to partially use AI,4,2204,9140,8767,0.2411,0.2514
Somewhat trust,2,Committing and reviewing code,Plan to partially use AI,4,2389,9140,8700,0.2614,0.2746
Somewhat distrust,4,Creating or maintaining documentation,Plan to mostly use AI,3,933,8133,7918,0.1147,0.1178
Highly distrust,5,Committing and reviewing code,Plan to partially use AI,4,817,6246,6167,0.1308,0.1325
Highly trust,1,Learning new concepts or technologies,Plan to mostly use AI,3,77,946,883,0.0814,0.0872
Highly distrust,5,Creating or maintaining documentation,Plan to partially use AI,4,1266,6246,6174,0.2027,0.2051
Highly distrust,5,Deployment and monitoring,Do not plan to use AI,5,5410,6246,6148,0.8662,0.88
Highly distrust,5,Committing and reviewing code,Do not plan to use AI,5,4888,6246,6167,0.7826,0.7926
Highly distrust,5,Predictive analytics,Do not plan to use AI,5,4967,6246,6074,0.7952,0.8177
Neither trust nor distrust,3,Writing code,Do not plan to use AI,5,851,6490,6365,0.1311,0.1337
Somewhat distrust,4,Other,Currently partially AI,2,67,8133,936,0.0082,0.0716
Highly trust,1,Project planning,Currently partially AI,2,169,946,863,0.1786,0.1958
Neither trust nor distrust,3,Learning new concepts or technologies,Plan to mostly use AI,3,539,6490,6281,0.0831,0.0858
Neither trust nor distrust,3,Project planning,Plan to mostly use AI,3,485,6490,6208,0.0747,0.0781
Somewhat distrust,4,Creating or maintaining documentation,Currently partially AI,2,1335,8133,7918,0.1641,0.1686
Neither trust nor distrust,3,Debugging or fixing code,Currently partially AI,2,2360,6490,6318,0.3636,0.3735
Highly distrust,5,Documenting code,Currently mostly AI,1,189,6246,6179,0.0303,0.0306
Somewhat trust,2,Search for answers,Plan to partially use AI,4,914,9140,8879,0.1,0.1029
Somewhat distrust,4,Generating content or synthetic data,Do not plan to use AI,5,2760,8133,7862,0.3394,0.3511
Somewhat distrust,4,Debugging or fixing code,Currently mostly AI,1,214,8133,7974,0.0263,0.0268
Somewhat trust,2,Other,Do not plan to use AI,5,293,9140,722,0.0321,0.4058
Neither trust nor distrust,3,Generating content or synthetic data,Plan to partially use AI,4,1352,6490,6183,0.2083,0.2187
Somewhat distrust,4,Debugging or fixing code,Plan to mostly use AI,3,303,8133,7974,0.0373,0.038
Neither trust nor distrust,3,Search for answers,Do not plan to use AI,5,520,6490,6348,0.0801,0.0819
Highly trust,1,Project planning,Do not plan to use AI,5,181,946,863,0.1913,0.2097
Highly distrust,5,Committing and reviewing code,Currently mostly AI,1,39,6246,6167,0.0062,0.0063
Highly trust,1,Committing and reviewing code,Currently partially AI,2,204,946,867,0.2156,0.2353
Somewhat trust,2,Search for answers,Currently partially AI,2,3954,9140,8879,0.4326,0.4453
Neither trust nor distrust,3,Learning new concepts or technologies,Currently mostly AI,1,770,6490,6281,0.1186,0.1226
Highly distrust,5,Debugging or fixing code,Currently partially AI,2,891,6246,6188,0.1427,0.144
Somewhat trust,2,Predictive analytics,Currently partially AI,2,1243,9140,8402,0.136,0.1479
Somewhat trust,2,Creating or maintaining documentation,Currently partially AI,2,2252,9140,8694,0.2464,0.259
Somewhat distrust,4,Documenting code,Currently partially AI,2,1562,8133,7962,0.1921,0.1962
Somewhat distrust,4,Project planning,Plan to partially use AI,4,1408,8133,7880,0.1731,0.1787
Neither trust nor distrust,3,Project planning,Currently mostly AI,1,235,6490,6208,0.0362,0.0379
Somewhat trust,2,Debugging or fixing code,Currently partially AI,2,4030,9140,8876,0.4409,0.454
Neither trust nor distrust,3,Generating content or synthetic data,Plan to mostly use AI,3,879,6490,6183,0.1354,0.1422
Highly distrust,5,Documenting code,Plan to partially use AI,4,1226,6246,6179,0.1963,0.1984
Somewhat distrust,4,Search for answers,Currently mostly AI,1,855,8133,7999,0.1051,0.1069
Neither trust nor distrust,3,Committing and reviewing code,Currently mostly AI,1,205,6490,6233,0.0316,0.0329
Somewhat trust,2,Learning about a codebase,Plan to mostly use AI,3,1258,9140,8728,0.1376,0.1441
Neither trust nor distrust,3,Committing and reviewing code,Plan to mostly use AI,3,527,6490,6233,0.0812,0.0845
Somewhat trust,2,Deployment and monitoring,Plan to partially use AI,4,2161,9140,8603,0.2364,0.2512
Neither trust nor distrust,3,Committing and reviewing code,Plan to partially use AI,4,1760,6490,6233,0.2712,0.2824
Highly trust,1,Learning new concepts or technologies,Plan to partially use AI,4,88,946,883,0.093,0.0997
Highly trust,1,Learning about a codebase,Do not plan to use AI,5,92,946,880,0.0973,0.1045
Neither trust nor distrust,3,Debugging or fixing code,Do not plan to use AI,5,1355,6490,6318,0.2088,0.2145
Somewhat distrust,4,Testing code,Currently mostly AI,1,246,8133,7951,0.0302,0.0309
Somewhat trust,2,Other,Currently mostly AI,1,92,9140,722,0.0101,0.1274
Highly distrust,5,Search for answers,Plan to mostly use AI,3,213,6246,6191,0.0341,0.0344
Highly trust,1,Committing and reviewing code,Plan to partially use AI,4,128,946,867,0.1353,0.1476
Neither trust nor distrust,3,Testing code,Currently partially AI,2,1348,6490,6277,0.2077,0.2148
Highly trust,1,Generating content or synthetic data,Plan to mostly use AI,3,127,946,871,0.1342,0.1458
Somewhat distrust,4,Project planning,Plan to mostly use AI,3,286,8133,7880,0.0352,0.0363
Neither trust nor distrust,3,Deployment and monitoring,Plan to mostly use AI,3,487,6490,6179,0.075,0.0788
Neither trust nor distrust,3,Deployment and monitoring,Plan to partially use AI,4,1387,6490,6179,0.2137,0.2245
Highly trust,1,Learning about a codebase,Plan to mostly use AI,3,121,946,880,0.1279,0.1375
Somewhat distrust,4,Predictive analytics,Plan to partially use AI,4,1542,8133,7695,0.1896,0.2004
Highly distrust,5,Testing code,Plan to partially use AI,4,1220,6246,6181,0.1953,0.1974
Somewhat distrust,4,Creating or maintaining documentation,Plan to partially use AI,4,2374,8133,7918,0.2919,0.2998
Neither trust nor distrust,3,Committing and reviewing code,Currently partially AI,2,1122,6490,6233,0.1729,0.18
Somewhat distrust,4,Testing code,Currently partially AI,2,1371,8133,7951,0.1686,0.1724
Somewhat distrust,4,Learning new concepts or technologies,Plan to partially use AI,4,2058,8133,7971,0.253,0.2582
Highly distrust,5,Search for answers,Plan to partially use AI,4,1379,6246,6191,0.2208,0.2227
Highly distrust,5,Predictive analytics,Plan to partially use AI,4,696,6246,6074,0.1114,0.1146
Neither trust nor distrust,3,Generating content or synthetic data,Do not plan to use AI,5,1575,6490,6183,0.2427,0.2547
Highly distrust,5,Learning about a codebase,Do not plan to use AI,5,4000,6246,6165,0.6404,0.6488
Somewhat trust,2,Creating or maintaining documentation,Do not plan to use AI,5,1601,9140,8694,0.1752,0.1841
Highly distrust,5,Debugging or fixing code,Do not plan to use AI,5,4092,6246,6188,0.6551,0.6613
Somewhat trust,2,Learning new concepts or technologies,Do not plan to use AI,5,922,9140,8800,0.1009,0.1048
Somewhat distrust,4,Debugging or fixing code,Do not plan to use AI,5,2770,8133,7974,0.3406,0.3474
Somewhat distrust,4,Creating or maintaining documentation,Do not plan to use AI,5,2910,8133,7918,0.3578,0.3675
Somewhat trust,2,Predictive analytics,Do not plan to use AI,5,3442,9140,8402,0.3766,0.4097
Somewhat distrust,4,Writing code,Do not plan to use AI,5,2114,8133,8027,0.2599,0.2634
Somewhat trust,2,Committing and reviewing code,Currently mostly AI,1,540,9140,8700,0.0591,0.0621
Highly distrust,5,Committing and reviewing code,Currently partially AI,2,338,6246,6167,0.0541,0.0548
