DEVELOPER_ROLE,AI_TRUST_LEVEL,AI_TRUST_ORDER,RESPONDENT_COUNT,ROLE_RESPONDENT_COUNT,RESPONDENT_SHARE_WITHIN_ROLE
Product manager,Highly distrust,5,12,151,0.0795
Product manager,Somewhat distrust,4,30,151,0.1987
Database administrator or engineer,Highly distrust,5,23,134,0.1716
Data scientist,Somewhat trust,2,156,448,0.3482
Data or business analyst,Highly trust,1,18,252,0.0714
"Developer, back-end",Somewhat distrust,4,1364,4876,0.2797
"Developer, full-stack",Somewhat distrust,4,2465,9448,0.2609
"Developer, front-end",Somewhat distrust,4,355,1464,0.2425
"Developer, front-end",Somewhat trust,2,533,1464,0.3641
"Developer, full-stack",Highly trust,1,248,9448,0.0262
Cloud infrastructure engineer,Somewhat trust,2,65,322,0.2019
DevOps engineer or professional,Neither trust nor distrust,3,171,839,0.2038
"Developer, embedded applications or devices",Somewhat distrust,4,306,1011,0.3027
Data engineer,Somewhat distrust,4,149,589,0.253
"Developer, full-stack",Highly distrust,5,1764,9448,0.1867
Engineering manager,Somewhat trust,2,288,836,0.3445
Academic researcher,Somewhat trust,2,197,858,0.2296
Other (please specify):,Somewhat trust,2,319,1354,0.2356
Support engineer or analyst,Highly distrust,5,44,189,0.2328
Retired,Somewhat distrust,4,104,368,0.2826
"Developer, AI apps or physical AI",Somewhat distrust,4,24,156,0.1538
"Founder, technology or otherwise",Highly distrust,5,56,335,0.1672
Financial analyst or engineer,Somewhat trust,2,31,73,0.4247
System administrator,Somewhat trust,2,78,363,0.2149
"UX, Research Ops or UI design professional",Highly trust,1,11,71,0.1549
Data or business analyst,Highly distrust,5,33,252,0.131
"Founder, technology or otherwise",Highly trust,1,21,335,0.0627
System administrator,Highly trust,1,22,363,0.0606
Retired,Highly distrust,5,92,368,0.25
"Developer, embedded applications or devices",Neither trust nor distrust,3,176,1011,0.1741
AI/ML engineer,Highly trust,1,47,471,0.0998
Other (please specify):,Somewhat distrust,4,332,1354,0.2452
AI/ML engineer,Highly distrust,5,46,471,0.0977
"Developer, AI apps or physical AI",Highly trust,1,22,156,0.141
Project manager,Highly distrust,5,26,226,0.115
Database administrator or engineer,Neither trust nor distrust,3,29,134,0.2164
"Developer, AI apps or physical AI",Neither trust nor distrust,3,39,156,0.25
"Developer, embedded applications or devices",Highly trust,1,17,1011,0.0168
Project manager,Highly trust,1,12,226,0.0531
"UX, Research Ops or UI design professional",Somewhat trust,2,19,71,0.2676
Financial analyst or engineer,Highly distrust,5,11,73,0.1507
AI/ML engineer,Neither trust nor distrust,3,98,471,0.2081
Data or business analyst,Somewhat distrust,4,58,252,0.2302
